Mes,Compra/R$,Venda/R$,Rendimento Bruto/R$,Imposto/R$,Rendimento Liquido/R$
January,27179.0,6103.333333333333,-338.33333333333286,0,-338.33333333333286
February,13337.5,6819.666666666668,-856.3333333333336,0,-856.3333333333336
March,10023.333333333332,4708.0,-1360.0000000000007,0,-1360.0000000000007
April,11219.4,0.0,-108.66666666666653,0,-108.66666666666653
May,0.0,23904.8,2156.200000000001,323.4300000000002,1832.770000000001
June,2150.8399999999997,19546.199999999997,1748.0000000000011,262.20000000000016,1485.800000000001
